solucion,job,operacion,maquina_asignada,costo,tiempo
66,1,1,1,29.00,119.00
66,1,2,2,30.00,70.00
66,1,3,1,9.00,97.00
66,2,1,1,18.00,95.00
66,2,2,3,20.00,94.00
66,2,3,3,12.00,53.00
66,3,1,1,5.00,155.00
66,3,2,3,21.00,28.00
66,3,3,1,28.00,90.00
66,4,1,2,9.00,39.00
66,4,2,2,16.00,161.00
66,4,3,1,15.00,16.00
67,1,1,2,20.00,173.00
67,1,2,2,30.00,70.00
67,1,3,1,9.00,97.00
67,2,1,1,18.00,95.00
67,2,2,3,20.00,94.00
67,2,3,3,12.00,53.00
67,3,1,1,5.00,155.00
67,3,2,3,21.00,28.00
67,3,3,1,28.00,90.00
67,4,1,2,9.00,39.00
67,4,2,2,16.00,161.00
67,4,3,1,15.00,16.00
68,1,1,1,29.00,119.00
68,1,2,2,30.00,70.00
68,1,3,3,32.00,44.00
68,2,1,1,18.00,95.00
68,2,2,3,20.00,94.00
68,2,3,3,12.00,53.00
68,3,1,1,5.00,155.00
68,3,2,3,21.00,28.00
68,3,3,1,28.00,90.00
68,4,1,2,9.00,39.00
68,4,2,1,50.00,45.00
68,4,3,1,15.00,16.00
69,1,1,2,20.00,173.00
69,1,2,2,30.00,70.00
69,1,3,1,9.00,97.00
69,2,1,1,18.00,95.00
69,2,2,3,20.00,94.00
69,2,3,3,12.00,53.00
69,3,1,1,5.00,155.00
69,3,2,3,21.00,28.00
69,3,3,1,28.00,90.00
69,4,1,1,16.00,30.00
69,4,2,2,16.00,161.00
69,4,3,1,15.00,16.00
70,1,1,1,29.00,119.00
70,1,2,2,30.00,70.00
70,1,3,1,9.00,97.00
70,2,1,1,18.00,95.00
70,2,2,3,20.00,94.00
70,2,3,3,12.00,53.00
70,3,1,1,5.00,155.00
70,3,2,3,21.00,28.00
70,3,3,1,28.00,90.00
70,4,1,2,9.00,39.00
70,4,2,2,16.00,161.00
70,4,3,1,15.00,16.00
71,1,1,2,20.00,173.00
71,1,2,2,30.00,70.00
71,1,3,1,9.00,97.00
71,2,1,1,18.00,95.00
71,2,2,3,20.00,94.00
71,2,3,3,12.00,53.00
71,3,1,1,5.00,155.00
71,3,2,3,21.00,28.00
71,3,3,1,28.00,90.00
71,4,1,2,9.00,39.00
71,4,2,3,38.00,94.00
71,4,3,1,15.00,16.00
